Title,Date added,Template,Vulnerable Population?,Age Range,Named Detainee,Gender,Status,Event 1 Date Range,Event 1 Violations,Event 2 Date Range,Event 2 Violations,Event 3 Date Range,Event 3 Violation,Related Penal Facilities,Province Where the Penal Facility is Located,Penal Facility Affiliation,Related Type of Penal Facility,Documents,Attachments,Published
A2608,18/03/2024,Detainees,Women,40-49,Unnamed,Female,Unknown,30/11/1998~31/12/1998,Arbitrary Deprivation of Liberty_A2608,,,,,Musan County MPS Detention Centre,North Hamgyong,Ministry of People's Security,Detention Centre,,,Published
A2607,18/03/2024,Detainees,Women,50-59,Named,Female,Released from all facilities,30/11/1998~31/12/1998,"Arbitrary Deprivation of Liberty_A2607|Violation of the Right to a Fair Trial_A2607|Torture & CID_A2607|Violation of Right to Health_A2607",,,,,Musan County MPS Detention Centre,North Hamgyong,Ministry of People's Security,Detention Centre,,,Published
A2626,18/03/2024,Detainees,Women,Unknown,Partially named,Female,Released from all facilities,01/08/2004~31/08/2004,"Torture & CID_A2626|Violation of Right to Health_A2626",,,,,North Hamgyong Provincial MPS Holding Centre (Nongpo),North Hamgyong,Ministry of People's Security,Holding Centre,,,Published
A2515,18/03/2024,Detainees,"Women|Pregnant Women",20-29,Unnamed,Female,Unknown,01/03/2003~01/04/2003,Sexual and Gender-based Violence_A2515,,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A2513,18/03/2024,Detainees,N/A,20-29,Named,Male,Released from all facilities,31/05/2004~31/08/2004,Arbitrary Deprivation of Liberty_A2513,,,,,"Onsong County MSS Detention Centre|Onsong County Labour Training Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)","North Hamgyong|North Hamgyong|North Hamgyong","Ministry of State Security|People's Committee of North Korea|Ministry of People's Security","Detention Centre|Labour Training Centre|Holding Centre",,,Published
A2696,18/03/2024,Detainees,"Women|Children",10-19,Named,Female,Unknown,01/05/2003~30/06/2003,"Sexual and Gender-based Violence_A2696|Torture & CID_A2696|Violation of Right to Health_A2696",,,,,Ryanggang Provincial MPS Holding Centre,Ryanggang,Ministry of People's Security,Holding Centre,,,Published
A2695,18/03/2024,Detainees,"Women|Children",10-19,Named,Female,Released from all facilities,01/05/2003~30/06/2003,"Arbitrary Deprivation of Liberty_A2695|Forced Labour_A2695|Sexual and Gender-based Violence_A2695|Torture & CID_A2695|Violation of Freedom of Expression_A2695|Violation of Right to Health_A2695|Violation of the Right to a Fair Trial_A2695|Violation of the Rights of Children_A2695",,,,,Ryanggang Provincial MPS Holding Centre,Ryanggang,Ministry of People's Security,Holding Centre,,,Published
A2512,18/03/2024,Detainees,Women,40-49,Named,Female,Released from all facilities,01/03/2003~31/05/2003,"Arbitrary Deprivation of Liberty_1_A2512|Violation of the Right to a Fair Trial_1_A2512|Sexual and Gender-based Violence_1_A2512|Sexual and Gender-based Violence_2_A2512|Torture & CID_1_A2512|Torture & CID_2_A2512|Torture & CID_3_A2512|Torture & CID_4_A2512|Violation of Freedom of Expression_1_A2512|Violation of Freedom of Expression_2_A2512|Violation of Freedom of Expression_3_A2512|Violation of Freedom of Expression_4_A2512|Violation of Right to Health_1_A2512|Violation of Right to Health_2_A2512|Violation of Right to Health_3_A2512|Violation of Right to Health_4_A2512",31/05/2004~31/08/2004,"Arbitrary Deprivation of Liberty_2_A2512|Violation of the Right to a Fair Trial_2_A2512|Forced Labour_A2512|Sexual and Gender-based Violence_3_A2512|Torture & CID_5_A2512|Torture & CID_6_A2512|Torture & CID_7_A2512|Violation of Freedom of Expression_6_A2512|Violation of Freedom of Expression_7_A2512|Violation of Freedom of Expression_5_A2512|Violation of Right to Health_5_A2512|Violation of Right to Health_6_A2512|Violation of Right to Health_7_A2512",,,"Onsong County MSS Detention Centre|Onsong County Labour Training Centre|Musan County MSS Detention Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)|Musan County Kangson-gu MPS Sub-municipal Station Office (Cholsong)","North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong","Ministry of State Security|People's Committee of North Korea|Ministry of State Security|Ministry of People's Security|Ministry of People's Security","Detention Centre|Labour Training Centre|Detention Centre|Holding Centre|Temporary Detention Facility::Office",,,Published
A2622,18/03/2024,Detainees,Women,60-69,Unnamed,Female,Released from all facilities,01/03/2003~31/03/2003,"Arbitrary Deprivation of Liberty_A2622|Violation of the Right to Freedom of Conscience, Thought and Religion_A2622",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A2621,18/03/2024,Detainees,Women,10-19,Unnamed,Female,Unknown,01/03/2003~31/03/2003,Sexual and Gender-based Violence_A2621,,,,,Chongjin City Ranam District Labour Training Centre,North Hamgyong,People's Committee of North Korea,Labour Training Centre,,,Published
A2620,18/03/2024,Detainees,Women,60-69,Moniker,Female,Released from all facilities,01/03/2003~31/03/2003,"Arbitrary Deprivation of Liberty_A2620|Violation of the Right to a Fair Trial_A2620|Torture & CID_1_A2620|Torture & CID_2_A2620|Torture & CID_3_A2620|Sexual and Gender-based Violence_A2620|Violation of Right to Health_1_A2620|Violation of Right to Health_2_A2620|Violation of Right to Health_3_A2620|Violation of Freedom of Expression_1_A2620|Violation of Freedom of Expression_2_A2620",,,,,"Onsong County MSS Detention Centre|Chongjin City Ranam District MPS Detention Centre|Chongjin City Ranam District Labour Training Centre","North Hamgyong|North Hamgyong|North Hamgyong","Ministry of State Security|Ministry of People's Security|People's Committee of North Korea","Detention Centre|Detention Centre|Labour Training Centre",,,Published
A2612,15/03/2024,Detainees,Detainees with Disabilities ,40-49,Named,Male,Unknown,01/08/2015~31/08/2015,Violation of the Rights of Detainees with Disabilities_A2612,,,,,Kyongsong County MPS Waiting Room,North Hamgyong,Ministry of People's Security,Waiting Room,,,Published
A2611,15/03/2024,Detainees,N/A,50-59,Unnamed,Male,Death in custody,01/08/2015~30/09/2015,"Violation of the Right to Life_A2611|Violation of Right to Health_A2611",,,,,Kyongsong County Labour Training Centre,North Hamgyong,People's Committee of North Korea,Labour Training Centre,,,Published
A2610,15/03/2024,Detainees,N/A,40-49,Named,Male,Released from all facilities,01/08/2015~30/09/2015,"Arbitrary Deprivation of Liberty_A2610|Violation of the Right to a Fair Trial_A2610|Torture & CID_1_A2610|Torture & CID_2_A2610|Sexual and Gender-based Violence_A2610|Violation of Right to Health_1_A2610|Violation of Right to Health_2_A2610|Forced Labour_A2610|Violation of Freedom of Expression_1_A2610|Violation of Freedom of Expression_2_A2610",,,,,"Kyongsong County MPS Waiting Room|Kyongsong County Labour Training Centre","North Hamgyong|North Hamgyong","Ministry of People's Security|People's Committee of North Korea","Waiting Room|Labour Training Centre",,,Published
A2592,15/03/2024,Detainees,N/A,Unknown,Partially named,Male,Released from all facilities,01/03/2009~30/04/2009,,,,,,Chongjin City Pohang District MSS Office,North Hamgyong,Ministry of State Security,Temporary Detention Facility::Office,,,Published
A2591,15/03/2024,Detainees,Women,50-59,Named,Female,Released from all facilities,01/07/2003~31/10/2003,,01/12/2004~31/12/2004,,01/03/2009~31/08/2009,,"Musan County Labour Training Centre|Musan County MSS Detention Centre|Chongjin City Pohang District MSS Office|Chongjin City Pohang District MPS Detention Centre|Chongori Re-education Camp","North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong","People's Committee of North Korea|Ministry of State Security|Ministry of State Security|Ministry of People's Security|Ministry of People's Security","Labour Training Centre|Detention Centre|Temporary Detention Facility::Office|Detention Centre|Re-education Camp ",,,Published
A2679,14/03/2024,Detainees,Women,10-19,Unnamed,Female,Unknown,01/06/2006~31/12/2006,"Arbitrary Deprivation of Liberty_A2679|Violation of the Right to Freedom of Conscience, Through and Religion_A2679|Torture & CID_A2679|Violation of Freedom of Expression_A2679|Violation of Right to Health_A2679",,,,,Onsong County MPS Detention Centre,North Hamgyong,Ministry of People's Security,Detention Centre,,,Published
A2678,14/03/2024,Detainees,"Children|Women",10-19,Unnamed,Female,Unknown,01/04/2006~01/05/2006,"Torture & CID_A2678|Violation of Freedom of Expression_A2678|Violation of Right to Health_A2678|Violation of the Rights of Children_A2678",,,,,Onsong County Labour Training Centre,North Hamgyong,People's Committee of North Korea,Labour Training Centre,,,Published
A2627,14/03/2024,Detainees,Women,40-49,Named,Female,Released from all facilities,30/06/2003~31/07/2003,"Arbitrary Deprivation of Liberty_1_A2627|Violation of the Right to a Fair Trial_1_A2627|Forced Labour_A2627|Torture & CID_1_A2627|Torture & CID_2_A2627|Violation of Freedom of Expression_1_A2627|Violation of Freedom of Expression_2_A2627|Violation of Right to Health_1_A2624|Violation of Right to Health_1_A2627",01/04/2006~31/12/2006,"Arbitrary Deprivation of Liberty_2_A2627|Violation of the Right to a Fair Trial_2_A2627|Torture & CID_3_A2627|Torture & CID_4_A2627|Violation of Freedom of Expression_3_A2627|Violation of Freedom of Expression_4_A2627|Violation of Right to Health_3_A2627|Violation of Right to Health_4_A2627",,,"Onsong County Labour Training Centre|Onsong County MSS Detention Centre|Onsong County MPS Detention Centre","North Hamgyong|North Hamgyong|North Hamgyong","People's Committee of North Korea|Ministry of State Security|Ministry of People's Security","Labour Training Centre|Detention Centre|Detention Centre",,,Published
A2687,14/03/2024,Detainees,Women,30-39,Named,Female,Released from all facilities,01/06/1989~30/06/1989,"Arbitrary Deprivation of Liberty_1_A2687|Sexual and Gender-based Violence_1_A2687|Torture & CID_1_A2687|Violation of Right to Health_1_A2687|Violation of the Right to a Fair Trial_1_A2687",01/11/1990~30/11/1990,"Arbitrary Deprivation of Liberty_2_A2687|Sexual and Gender-based Violence_2_A2687|Torture & CID_2_A2687|Violation of Freedom of Expression_1_A2687|Violation of Right to Health_2_A2687|Violation of the Right to a Fair Trial_2_A2687",01/03/2004~31/03/2004,"Arbitrary Deprivation of Liberty_3_A2687|Sexual and Gender-based Violence_3_A2687|Torture & CID_3_A2687|Violation of Freedom of Expression_2_A2687|Violation of Right to Health_3_A2687|Violation of the Right to a Fair Trial_3_A2687","Hamhung University of Hydraulic Engineering MSS Office|South Pyongan Provincial MPS Holding Centre","South Hamgyong|South Pyongan","Ministry of State Security|Ministry of People's Security","Temporary Detention Facility::Office|Holding Centre",,,Published
A2694,14/03/2024,Detainees,N/A,20-29,Named,Male,Released from all facilities,01/08/2000~01/10/2000,"Arbitrary Deprivation of Liberty_A2694|Violation of the Right to a Fair Trial_A2694|Torture & CID_2_A2694|Torture & CID_1_A2694",,,,,"Kaechon City MSS Detention Centre|North Hamgyong Provincial MSS Detention Centre ","South Pyongan|North Hamgyong","Ministry of State Security|Ministry of State Security","Detention Centre|Detention Centre",,,Published
A2693,14/03/2024,Detainees,"Women|Pregnant Women",20-29,Named,Female,Released from all facilities,01/08/2000~01/10/2000,"Arbitrary Deprivation of Liberty_A2693|Violation of the Right to a Fair Trial_A2693|Torture & CID_1_A2693|Torture & CID_2_A2693|Sexual and Gender-based Violence_1_A2623|Sexual and Gender-based Violence_2_A2693|Violation of Right to Health_1_A2693|Violation of Right to Health_2_A2693|Violation of Freedom of Expression_1_A2693|Violation of Freedom of Expression_2_A2693",,,,,"Kaechon City MSS Detention Centre|North Hamgyong Provincial MSS Detention Centre ","South Pyongan|North Hamgyong","Ministry of State Security|Ministry of State Security","Detention Centre|Detention Centre",,,Published
A2729,14/03/2024,Detainees,Women,30-39,Unnamed,Female,Unknown,01/01/2005~01/08/2005,"Torture & CID_1_A2729|Torture & CID_2_A2729|Violation of Freedom of Expression_1_A2729|Violation of Freedom of Expression_2_A2729|Violation of Right to Health_A2729",,,,,"Hoeryong City MSS Detention Centre|Hoeryong City MPS Detention Centre","North Hamgyong|North Hamgyong","Ministry of State Security|Ministry of People's Security","Detention Centre|Detention Centre",,,Published
A2728,14/03/2024,Detainees,Women,30-39,Named,Female,Released from all facilities,01/07/2001~30/09/2001,"Arbitrary Deprivation of Liberty_1_A2728|Violation of the Right to a Fair Trial_1_A2728|Violation of Freedom of Expression_1_A2728|Violation of Freedom of Expression_2_A2728|Violation of Freedom of Expression_3_A2728|Torture & CID_1_A2728|Forced Labour_1_A2728",01/01/2005~31/08/2005,"Arbitrary Deprivation of Liberty_2_A2728|Violation of the Right to Freedom of Conscience, Thought and Religion_A2728|Violation of the Right to a Fair Trial_2_A2728|Forced Labour_2_A2728|Sexual and Gender-based Violence_A2728|Torture & CID_2_A2728|Torture & CID_3_A2728|Torture & CID_4_A2728|Torture & CID_5_A2728|Torture & CID_6_A2728|Violation of Freedom of Expression_4_A2728|Violation of Freedom of Expression_5_A2728|Violation of Freedom of Expression_6_A2728|Violation of Freedom of Expression_7_A2728|Violation of Freedom of Expression_8_A2728|Violation of Right to Health_1_A2728|Violation of Right to Health_2_A2728|Violation of Right to Health_3_A2728|Violation of Right to Health_4_A2728|Violation of Right to Health_5_A2728",,,"Musan County MSS Detention Centre|Musan County Labour Training Centre|Hoeryong City MSS Detention Centre|Hoeryong City MPS Detention Centre|Kaechon Re-education Camp|Kangdong Re-education Camp|Hoeryong City Saemaeul-dong MPS Sub-municipal Station Office","North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong|South Pyongan|Pyongyang|North Hamgyong","Ministry of State Security|People's Committee of North Korea|Ministry of State Security|Ministry of People's Security|Ministry of People's Security|Ministry of People's Security|Ministry of People's Security","Detention Centre|Labour Training Centre|Detention Centre|Detention Centre|Re-education Camp |Re-education Camp |Temporary Detention Facility::Office",,,Published
A2624,13/03/2024,Detainees,Children,10-19,Named,Male,Released from all facilities,01/01/2003~01/04/2004,"Arbitrary Deprivation of Liberty_A2624|Violation of the Right to a Fair Trial_A2624|Sexual and Gender-based Violence_A2624|Forced Labour_A2624|Torture & CID_1_A2624|Torture & CID_2_A2624|Torture & CID_3_A2624|Torture & CID_4_A2624|Violation of Freedom of Expression_A2624|Violation of Right to Health_1_A2624|Violation of Right to Health_2_A2624|Violation of Right to Health_3_A2624|Violation of Right to Health_4_A2624|Violation of the Rights of Children_1_A2624|Violation of the Rights of Children_2_A2624|Violation of the Rights of Children_3_A2624|Violation of the Rights of Children_4_A2624",,,,,"Musan County MSS Detention Centre|Musan County MPS Detention Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)|Hamhung City Jongpyong-gu MPS Sub-municipal Station Office","North Hamgyong|North Hamgyong|North Hamgyong|South Hamgyong","Ministry of State Security|Ministry of People's Security|Ministry of People's Security|Ministry of People's Security","Detention Centre|Detention Centre|Holding Centre|Temporary Detention Facility::Office",,,Published
A2614,13/03/2024,Detainees,N/A,20-29,Partially named,Male,Unknown,31/12/2017~31/03/2018,"Arbitrary Deprivation of Liberty_A2614|Torture & CID_A2614",,,,,Hyesan City MSS  Detention Centre,Ryanggang,Ministry of State Security,Detention Centre,,,Published
A2613,13/03/2024,Detainees,Women,40-49,Named,Female,Released from all facilities,01/01/2018~01/01/2018,"Arbitrary Deprivation of Liberty_A2613|Violation of the Right to a Fair Trial_A2613|Sexual and Gender-based Violence_A2613|Torture & CID_A2613|Violation of Right to Health_A2613|Violation of Freedom of Expression_A2613",,,,,Hyesan City MSS  Detention Centre,Ryanggang,Ministry of State Security,Detention Centre,,,Published
